scenario_id,N_hist,N_current,treatment_effect,method,model,bias,MSE,reject,mc_se_reject,emp_var,mc_sd,n_sims
6,1000,200,0.35,stan,PROCOVA - superlearner,-0.009193335912511447,0.01579477809867088,0.77,0.042083250825001625,0.015868950175222836,0.1259720213984948,100
7,1000,500,0,RBest,FULL_BORROWING,-7.092228158587897e-4,0.004560326956430903,0.03999999999999999,0.01959591794226542,0.004605882787301383,0.06786665445785127,100
7,1000,500,0,RBest,NO_BORROWING,-0.010003643654447326,0.006938610787566732,0.029999999999999978,0.017058722109231973,0.006907614041617745,0.08311205713744393,100
7,1000,500,0,RBest,SAM_PRIOR,-0.005251011160306519,0.004738897461799973,0.03999999999999999,0.01959591794226542,0.0047589134783780915,0.06898487862117388,100
7,1000,500,0,gibbs,Bayesian_PROCOVA,-0.008967353422838142,0.0050622118291045685,0.029999999999999978,0.017058722109231973,0.005032119597671192,0.0709374343888415,100
7,1000,500,0,glm,ANCOVA,-0.008429772079510855,0.006423409225600146,0.01999999999999999,0.013999999999999995,0.00641651330130065,0.08010314164438652,100
7,1000,500,0,glm,ANOVA,-0.009970594849103454,0.0069872491522748595,0.029999999999999978,0.017058722109231973,0.00695741049558575,0.08341109336045026,100
7,1000,500,0,glm,PROCOVA - superlearner,-0.010207579791259823,0.006349742663369901,0.029999999999999978,0.017058722109231973,0.006308634321388856,0.07942691182079822,100
7,1000,500,0,glmnet,A_LASSO,-0.005349598492954627,0.004595684618581441,0.03999999999999999,0.01959591794226542,0.004613198398530928,0.06792053002245291,100
7,1000,500,0,glmnet,A_LASSO_ADJ,-0.0033874390613739215,0.003970056146648971,0.02999999999999998,0.017058722109231976,0.003998567073994394,0.06323422391390911,100
7,1000,500,0,psborrow2,COMM_DB,-0.009362207355228065,0.006638377937930692,0.029999999999999978,0.017058722109231973,0.0066168959710791965,0.08134430509309915,100
7,1000,500,0,psborrow2,POOLING,-6.647583682719112e-4,0.004582388456872466,0.03999999999999999,0.01959591794226542,0.004628228841600282,0.06803108731749245,100
7,1000,500,0,stan,ANCOVA,-0.00809558697039873,0.006444740389488473,0.01999999999999999,0.013999999999999995,0.0064436382435284646,0.08027227568425144,100
7,1000,500,0,stan,ANOVA,-0.009871298136690658,0.007043769425554123,0.029999999999999978,0.017058722109231973,0.007016491816818874,0.08376450212840088,100
7,1000,500,0,stan,PROCOVA - oracle,-0.012238525093671218,0.0063211877208274045,0.03999999999999998,0.01959591794226542,0.006233743660968668,0.07895406044636759,100
7,1000,500,0,stan,PROCOVA - superlearner,-0.01069191184555933,0.006400637155388744,0.029999999999999978,0.017058722109231973,0.006349818360076298,0.07968574753415003,100
8,1000,500,0.35,RBest,FULL_BORROWING,0.002578437541643221,0.004906250954269404,1,0,0.0049490935496093414,0.07034979423999292,100
8,1000,500,0.35,RBest,NO_BORROWING,-0.00835699313754507,0.008143038939036819,0.98,0.014000000000000005,0.008154747075490753,0.09030363821846135,100
8,1000,500,0.35,RBest,SAM_PRIOR,1.1735357108568761e-4,0.005180451135096146,1,0,0.0052327650133691915,0.07233785325380614,100
8,1000,500,0.35,gibbs,Bayesian_PROCOVA,-6.955873521446136e-4,0.006426168821381459,0.99,0.009949874371066205,0.006490590888502015,0.08056420351807628,100
8,1000,500,0.35,glm,ANCOVA,-0.0052835963094267965,0.0074753154564379245,0.98,0.014000000000000005,0.0075226253196736745,0.08673306935462202,100
8,1000,500,0.35,glm,ANOVA,-0.006968992134934844,0.008194819990122513,0.98,0.014000000000000005,0.008228538523985585,0.09071129215255168,100
8,1000,500,0.35,glm,PROCOVA - superlearner,-0.006440406645060428,0.007388081617878824,0.98,0.014000000000000005,0.007420810889015238,0.08614412858120533,100
8,1000,500,0.35,glmnet,A_LASSO,0.0011123656488451687,0.005295691698535791,1,0,0.0053479336779788484,0.07312956774095447,100
8,1000,500,0.35,glmnet,A_LASSO_ADJ,0.0022842349629330454,0.0045733525788135216,1,0,0.004614277625704684,0.06792847433664828,100
8,1000,500,0.35,psborrow2,COMM_DB,-0.006286354337204793,0.007812855385411868,0.99,0.009949874371066205,0.007851855691473716,0.08861069738735677,100
8,1000,500,0.35,psborrow2,POOLING,0.004102033680600043,0.004967617363755225,1,0,0.005000798670139846,0.07071632534386842,100
8,1000,500,0.35,stan,ANCOVA,-0.005515118550598862,0.007446580035889433,0.98,0.014000000000000005,0.007491074245719463,0.08655099217062427,100
8,1000,500,0.35,stan,ANOVA,-0.007181576402896268,0.008166665479890003,0.97,0.017058722109231986,0.008197061050767038,0.0905376222946408,100
8,1000,500,0.35,stan,PROCOVA - oracle,-0.006939957069339088,0.00682077079170887,0.99,0.009949874371066205,0.006841017967257174,0.08271044654248443,100
8,1000,500,0.35,stan,PROCOVA - superlearner,-0.006510101082249292,0.007367098426826003,0.98,0.014000000000000005,0.007398704051237271,0.08601571979142691,100
